target,fold_id,feature,coefficient,absolute_coefficient
detection,17,fwd_pkt_len_mean_max,0.0216793039051085,0.0216793039051085
detection,17,fwd_seg_size_avg_max,0.0216793039051085,0.0216793039051085
detection,17,subflow_fwd_byts_min,-0.0208658137394336,0.0208658137394336
detection,17,pkt_len_mean_min,0.0185591748141864,0.0185591748141864
detection,17,pkt_len_max_min,0.0171565190189891,0.0171565190189891
detection,17,down_up_ratio_min,-0.0167018385286779,0.0167018385286779
detection,17,idle_mean_min,-0.0143165197780769,0.0143165197780769
detection,17,fwd_header_len_min,-0.0139244308481085,0.0139244308481085
detection,17,bwd_pkt_len_mean_mean,0.0138857312136587,0.0138857312136587
detection,17,bwd_seg_size_avg_mean,0.0138857312102336,0.0138857312102336
detection,17,flow_iat_min_min,0.0136686743090033,0.0136686743090033
detection,17,active_min_min,-0.0135190562853121,0.0135190562853121
detection,17,flow_iat_mean_max,-0.0119854348883534,0.0119854348883534
detection,17,bwd_pkts_per_sec_min,0.0115446352789974,0.0115446352789974
detection,17,fwd_pkts_per_sec_min,0.0115368501645591,0.0115368501645591
detection,17,packets_per_sec_std,-0.0102947358663302,0.0102947358663302
detection,17,flow_iat_mean_min,0.0082530474091297,0.0082530474091297
detection,17,bwd_header_len_min,-0.0080504438555086,0.0080504438555086
detection,17,active_max_min,0.0080051508465271,0.0080051508465271
detection,17,fwd_psh_flags_min,-0.0077134975349088,0.0077134975349088
detection,17,ack_flag_cnt_min,-0.0077134975349088,0.0077134975349088
detection,17,syn_flag_cnt_min,-0.0077134975349088,0.0077134975349088
detection,17,pkt_size_avg_min,0.0074295169435983,0.0074295169435983
detection,17,fwd_seg_size_avg_min,0.0064487517486801,0.0064487517486801
detection,17,fwd_pkt_len_mean_min,0.0064487517486801,0.0064487517486801
detection,17,psh_flag_cnt_min,-0.0064034182041864,0.0064034182041864
detection,17,pkt_len_min_mean,0.0059992097819719,0.0059992097819719
detection,17,pkt_len_std_max,0.0046954055058361,0.0046954055058361
detection,17,fwd_iat_min_min,-0.0032396558242429,0.0032396558242429
detection,17,fwd_iat_mean_min,0.0028148582676079,0.0028148582676079
detection,17,ece_flag_cnt_mean,-0.0023828101253634,0.0023828101253634
detection,17,psh_flag_cnt_std,-0.0019699654991174,0.0019699654991174
detection,17,idle_max_min,-0.0017957633123952,0.0017957633123952
detection,17,bwd_iat_max_min,-0.0015005823266836,0.0015005823266836
detection,17,fwd_iat_max_min,-0.001242293397546,0.001242293397546
detection,17,flow_iat_max_min,-0.0011718674384172,0.0011718674384172
detection,17,bwd_iat_max_max,0.0002717783544106,0.0002717783544106
detection,17,active_mean_min,0.0001322983270798,0.0001322983270798
detection,17,urg_flag_cnt_min,0.0,0.0
detection,17,fin_flag_cnt_min,0.0,0.0
detection,17,mask_has_tcp_flags,0.0,0.0
detection,17,cwe_flag_cnt_min,0.0,0.0
detection,17,rst_flag_cnt_min,0.0,0.0
detection,17,bwd_urg_flags_max,0.0,0.0
detection,17,pkt_frag_mf_count,0.0,0.0
detection,17,mask_has_graph_topology,0.0,0.0
detection,17,mask_has_traffic_volume_features,0.0,0.0
