rank,feature,mean_absolute_coefficient,max_absolute_coefficient,fold_count
237,subflow_fwd_byts_std,0.11253536080477029,0.1607142279190775,37
238,active_mean_max,0.10885655726998252,0.2152505195667352,37
239,packet_count_bwd_sum,0.10295554396712976,0.2109594287433976,37
240,flow_iat_min_max,0.10186017354501042,0.1218858470051628,37
241,byte_count_fwd_min,0.09551044856159625,0.2092060964751663,37
242,duration_microsec_sum,0.0924856650477676,0.1665394002309335,37
243,fin_flag_cnt_std,0.09214274731492877,0.3036259848533671,37
244,unique_protocols_count,0.09202572839812936,0.1622466333386822,37
245,fwd_pkt_len_min_std,0.08683233901935819,0.2153865665926624,37
246,packet_count_fwd_max,0.08354772201081834,0.3339941645973396,37
247,fwd_iat_min_mean,0.08197873894453736,0.1304538620288091,37
248,urg_flag_cnt_sum,0.08194997318392291,0.2987991650999121,37
249,bwd_pkt_len_max_mean,0.08025663219813411,0.2638630952071384,37
250,idle_mean_sum,0.08016220351744344,0.1134853648260812,37
251,active_min_max,0.0792953169998802,0.2706075569965449,37
252,fwd_act_data_pkts_min,0.07904891545876673,0.1721791007164513,37
253,packet_count_fwd_min,0.078501781290954,0.1419310745001701,37
254,idle_std_std,0.07469148939071647,0.1354493387858385,37
255,fwd_psh_flags_sum,0.07459990585693158,0.1620246560370865,37
256,syn_flag_cnt_sum,0.07459990585693158,0.1620246560370865,37
257,fwd_psh_flags_mean,0.0739383322449783,0.1303066453336028,37
258,syn_flag_cnt_mean,0.0739383322449783,0.1303066453336028,37
259,bwd_pkt_len_std_sum,0.07390335596331217,0.170906553208751,37
260,duration_sec_mean,0.07375749420206587,0.1752790865321998,37
261,rst_flag_cnt_mean,0.07341753960174849,0.1372685141795463,37
262,fwd_psh_flags_max,0.07126415946320237,0.1066230796901965,37
263,syn_flag_cnt_max,0.07126415946320237,0.1066230796901965,37
264,duration_microsec_min,0.07065995004686179,0.0981424510269724,37
265,duration_microsec_mean,0.07018017012163205,0.1522619342643358,37
266,fwd_iat_max_mean,0.06994808390025188,0.1170927994487943,37
267,fwd_iat_tot_min,0.06991539983607367,0.0967794201681173,37
268,bwd_iat_min_min,0.06987909736294018,0.1016942832517886,37
269,fin_flag_cnt_mean,0.06813955501914276,0.0887218575403486,37
270,flow_iat_min_std,0.06640323151336322,0.1662493362011083,37
271,idle_std_max,0.06541892111483877,0.0857850438614933,37
272,fwd_iat_tot_mean,0.06519534630720053,0.0864596633282673,37
273,pkt_len_std_max,0.06416939889323137,0.2222677542060741,37
274,bwd_iat_min_sum,0.06380331568386932,0.0964159249476025,37
275,active_min_mean,0.0631884919960046,0.160119873183626,37
276,bwd_iat_min_mean,0.06300063950006296,0.1169873404406083,37
277,fwd_iat_tot_max,0.06052927026171379,0.2698270390243958,37
278,idle_max_std,0.060194001545751365,0.1523202261835386,37
279,duration_sec_min,0.05986305737004439,0.0909051720066972,37
280,idle_mean_max,0.058342050504353274,0.1062672282903752,37
281,byte_count_bwd_min,0.05832751503681712,0.0658772538760781,37
282,bwd_pkt_len_mean_min,0.05603307831813689,0.0608612089610879,37
283,bwd_seg_size_avg_min,0.05603307831813689,0.0608612089610879,37
284,idle_min_mean,0.05255593254114679,0.2267542786346397,37
285,subflow_fwd_pkts_min,0.051695509475532184,0.0777808237849969,37
286,ece_flag_cnt_mean,0.051092014657575506,0.17981054291505,37
287,pkt_len_std_min,0.05057608852384211,0.0546727903896703,37
288,bwd_pkt_len_max_min,0.049058597534083384,0.0538349931382281,37
289,idle_std_sum,0.04843686734792488,0.0894436501167121,37
290,subflow_bwd_byts_min,0.047718807311688025,0.0526497724910174,37
291,pkt_len_var_min,0.04698775347844808,0.0515037644532398,37
292,fwd_pkt_len_mean_std,0.046603970315997056,0.147198392430894,37
293,fwd_seg_size_avg_std,0.046603970315997056,0.147198392430894,37
294,subflow_bwd_pkts_min,0.046578425877339374,0.0806467218765934,37
295,bwd_pkt_len_std_min,0.04592014476157661,0.049706360234329,37
296,idle_min_max,0.04333070380057587,0.0892294490350535,37
297,pkt_len_min_mean,0.043290700298887486,0.0686535123975733,37
298,cwe_flag_cnt_sum,0.041987827140321024,0.0651296208340991,37
299,fwd_urg_flags_sum,0.041987827140321024,0.0651296208340991,37
300,fwd_pkt_len_std_min,0.040244158357633335,0.0449320011249411,37
301,packets_per_sec_std,0.03934244882313849,0.2460228340639012,37
